timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
31.01.2025 18:51:08;-0,695;1,791;2,536;-0,233651;1,32893;2,334034
31.01.2025 18:51:09;-0,695;1,791;2,536;-0,2146215;1,310063;2,312505
31.01.2025 18:51:10;-0,695;1,791;2,536;-0,2097108;1,304301;2,313078
31.01.2025 18:51:11;-0,695;1,791;2,536;-0,2067182;1,29956;2,31653
31.01.2025 18:51:12;-0,695;1,791;2,536;-0,2242609;1,306231;2,317282
31.01.2025 18:51:13;-0,695;1,791;2,536;-0,2039437;1,306424;2,314992
31.01.2025 18:51:14;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:51:15;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:51:16;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:51:17;-0,3527746;1,321396;2,816135;-0,2174391;1,31744;2,31917
31.01.2025 18:51:18;-0,3544429;1,330641;2,815936;-0,2241066;1,321994;2,322284
31.01.2025 18:51:19;-0,3535179;1,331032;2,815943;-0,2222473;1,321183;2,316257
31.01.2025 18:51:20;-0,3514121;1,328359;2,816013;-0,2220964;1,323659;2,31688
31.01.2025 18:51:21;-0,3524493;1,329383;2,816448;-0,2122792;1,318298;2,314032
